"Qty";"Value";"Device";"Package";"Parts";"Description";"MFR_ID"
"1";;"ANTENNA_U.FL";"U.FL";"UFLANT";"U.FL Antenna Connector";734120110
"3";;"FERRITE_0603MP";"_0603MP";"FB1, FB2, FB3";"Ferrite Bead";"BLM18RK102SN1D"
"6";"0.1uF";"CAP_CERAMIC_0402MP";"_0402MP";"C1, C10, C16, C29, C30, C32";"Ceramic Capacitors";"C1005X7R1A104K050BB"
"1";"0.1uF";"KEMET_CERAMIC_CAPACITOR_ARRAY_1X4";"CAPACITOR_ARRAY_1206_MONO_1X4";"C_ARR";;"CA064C104K4RACTU"
"1";"0.47uF";"CAP_CERAMIC_0402MP";"_0402MP";"C7";"Ceramic Capacitors";"C1005X5R1C474K050BC"
"1";"1.2pF";"CAP_CERAMIC_0402MP";"_0402MP";"C17";"Ceramic Capacitors";"GRM1555C1H1R2BA01D"
"1";"1.8nH";"INDUCTOR_0603MP";"_0603MP";"L1";"Inductors";"L-05B1N8SV6T"
"1";"10000pF";"CAP_CERAMIC_0402MP";"_0402MP";"C31";"Ceramic Capacitors";"GRM155R71E103JA01J"
"1";"100K";"RESISTOR_0402MP";"_0402MP";"R5";"Resistors";"ERJ-2RKF1003X"
"1";"10K";"RESISTOR_0402MP";"_0402MP";"R2";"Resistors";"CRCW040210K0JNEDHP"
"2";"10uF";"CAP_CERAMIC_0402MP";"_0402MP";"C21, C22";"Ceramic Capacitors";"CL05A106MP5NUNC"
"1";"10uH";"INDUCTOR_0603MP";"_0603MP";"L6";"Inductors";"LQM18FN100M00D"
"1";"16MHz";"TSX-3225";"TSX-3225";"XTAL_RF";;"TSX-3225 16.0000MF09Z-AC0"
"1";"1X2_ROUND";"1X2_ROUND";"1X2_ROUND";"U$9";;"DNP"
"1";"1X5_ROUND";"1X5_ROUND";"1X5_ROUND";"U$10";;"DNP"
"1";"1X8_ROUND";"1X8_ROUND";"1X8_ROUND";"U$5";;"DNP"
"2";"2.2K";"RESISTOR_0402MP";"_0402MP";"R8, R9";"Resistors";"ERJ-2GEJ222X"
"2";"2.2uF";"CAP_CERAMIC_0402MP";"_0402MP";"C5, C6";"Ceramic Capacitors";"GRT155R61C225KE13D"
"5";"22pF, C0G, 5%";"CAP_CERAMIC_0402MP";"_0402MP";"C2, C8, C9, C11, C12";"Ceramic Capacitors (mandatory 22pF 5% C0G)";"GRM1555C1H220JA01D"
"1";"32MHz";"TSX-3225";"TSX-3225";"XTAL_BOARD";;"FA-128 32.0000MF20X-K3"
"5";"330";"RESISTOR_0402MP";"_0402MP";"R1, R3, R4, R6, R7";"Resistors";"CRCW0402330RJNED"
"2";"9pF";"CAP_CERAMIC_0402MP";"_0402MP";"C14, C15";"Ceramic Capacitors";"GRM1555C1H9R0DA01D"
"2";"10pF";"CAP_CERAMIC_0402MP";"_0402MP";"C3, C4";"Ceramic Capacitors";"VJ0402A100FXACW1BC"
"1";"AS222-92LF";"AS222-92LF";"AS222-92LF";"ASWITCH";;"AS222-92LF"
"1";"ATSAMR21E18A-MUT";"ATSAMR21E18A-MUT";"QFN32";"IC";"This is the ATMEL SAMR21E QFN-32. ATSAMR21E18A";"ATSAMR21E18A-MUT"
"1";"DNP";"CAP_CERAMIC_0402MP";"_0402MP";"C13";"Ceramic Capacitors (optional 22pF 5% C0G)";"DNP"
"1";"DNP";"SPST_SMD";"SPST_SMD";"BTN_RESET";;"DNP"
"1";"JOHANSON_2450BM15A0015E";"JOHANSON_2450BM15A0015E";"0805_BALUN";"BALUN";;"2450BM15A0015E"
"1";"LRTB_R48G";"LRTB_R48G";"LRTB_R48G";"RGBLED";;"LRTBR48G-P9Q7-1+R7S5-26+N5P-68-ZB"
"1";"MCP1700T-3302E/TT";"MCP1700T-3302E/TT";"MCP1700T-3302E/TT";"LDO_VREG";"Microchip LDO ""MCP1700"" in a 3-Pin SOT-23 package.";"MCP1700T-3302E/TT"
"1";"MPU-9250";"MPU-9250";"QFN_3X3MM";"IMU";;"MPU-9250"
"1";"MS5611-01BA03";"MS5611-01BA03";"MS5611-01BA03";"BARO";;"MS561101BA03-50"
"1";"PULSE_ANT_2.4GHZ";"PULSE_ANT_2.4GHZ";"ANT_BAR";"SMDANT";"Manufacturer part #W3008";"W3008"
"1";"USB_MICROB";"USB_MICROB";"USB_MICROB_PACKAGE";"USB";"This is the hirose ZX62-B-5PA(11) MICRO-USB B Type female connection.";"ZX62-B-5PA(33)"
